,situation,model,performance
0,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
1,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,299.82307775269226
2,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,256.66798568377664
3,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,547.6170429921195
4,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,262.9448825847597
5,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.57990936980246
6,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,134.22207414209214
7,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,303.8413348895982
8,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,247.72128944893336
9,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,362.27670463107506
10,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,537.0191355455003
11,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
12,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,736.7497584459383
13,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,278.94619319138354
14,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
15,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,988.377859434444
16,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,290.1368894637378
17,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,454.89625988724555
18,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,240.8084720687721
19,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,215.01503147453826
20,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,228.5305547114167
21,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,253.72922416918152
22,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,54.32031588163016
23,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,197.04524721697575
24,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,240.04055346208278
25,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,246.7005839333995
26,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,247.8813502604274
27,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,245.77767117513335
28,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,264.0240852055924
29,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1108.6270336065377
30,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,240.7624293078482
31,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.27982885384858
32,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.67916903317126
33,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,507.1439486457615
34,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,790.5998084618583
35,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,259.1159907195194
36,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,91.14452287262742
37,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,232.14240339643666
38,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,296.65111300489724
39,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
40,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
41,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,547.6170429921195
42,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,250.8074354752909
43,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,256.19965198518156
44,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,197.04524721697575
45,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,267.05634775559764
46,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,639.4549199642145
47,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
48,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
49,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,864.5489383078148
50,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
51,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,253.8217389102102
52,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,238.35859406969476
53,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,249.1664690611555
54,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,197.04524721697575
55,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
56,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,14.583173309873056
57,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,379.31741465142386
58,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,1422.8536951614658
59,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,288.8778123100663
60,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.1565958553019
61,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,339.592789069193
62,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,387.74790766893364
63,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
64,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
65,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,54.32031588163016
66,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,245.5423903478312
67,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,265.9050152040211
68,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,238.71846022496266
69,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,59.55233846672509
70,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,769.3974816108934
